ts_code,trade_date,priority_name,priority,T0_open,T0_close,T0_high,T1_open,T1_close,T1_high,T2_open,T2_close,T2_high,T3_open,T3_close,T3_high,T4_open,T4_close,T4_high,T5_open,T5_close,T5_high,buy,sell,return,target
300666.SZ,20260716,strong_only,2.0,253.75,240.0,264.48,,,,,,,,,,,,,,,,,,,
300672.SZ,20260716,strong_only,2.0,201.63,182.3,203.0,,,,,,,,,,,,,,,,,,,
688120.SH,20260716,overlap_core,1.0,282.49,258.43,287.99,,,,,,,,,,,,,,,,,,,
688409.SH,20260716,overlap_core,1.0,225.0,216.64,235.66,,,,,,,,,,,,,,,,,,,
688432.SH,20260716,overlap_core,1.0,39.65,36.96,41.37,,,,,,,,,,,,,,,,,,,
688766.SH,20260716,overlap_core,1.0,557.44,526.0,583.0,,,,,,,,,,,,,,,,,,,
002897.SZ,20260715,strict_only,3.0,75.32,71.01,76.41,70.0,69.66,73.17,,,,,,,,,,,,,70.0,,,
603678.SH,20260715,strong_only,2.0,57.79,55.28,58.64,55.04,50.96,55.04,,,,,,,,,,,,,55.04,,,
688362.SH,20260715,strict_only,3.0,96.33,85.6,97.3,81.86,79.0,87.01,,,,,,,,,,,,,81.86,,,
688403.SH,20260715,strict_only,3.0,33.97,29.87,34.55,28.1,27.66,29.96,,,,,,,,,,,,,28.1,,,
688549.SH,20260715,strict_only,3.0,30.1,26.51,30.12,25.9,24.61,26.68,,,,,,,,,,,,,25.9,,,
603698.SH,20260714,layer2_m1_only,5.0,35.71,35.71,35.71,32.14,32.14,32.58,29.09,28.93,29.78,,,,,,,,,,32.14,28.93,-0.09987554449284386,0
688549.SH,20260714,layer2_m1_only,5.0,28.1,29.39,30.2,30.1,26.51,30.12,25.9,24.61,26.68,,,,,,,,,,30.1,25.9,-0.13953488372093037,0
600664.SH,20260713,strict_only,3.0,3.51,3.71,3.71,3.8,4.08,4.08,4.32,4.49,4.49,4.94,4.94,4.94,,,,,,,3.8,4.32,0.1368421052631581,1
688141.SH,20260713,overlap_core,1.0,151.43,138.35,158.5,138.0,147.1,147.9,148.2,133.0,150.65,133.84,121.85,136.1,,,,,,,138.0,149.04000000000002,0.08000000000000007,1
688409.SH,20260713,strict_only,3.0,251.08,253.63,268.58,249.66,251.01,262.5,254.0,231.15,257.94,225.0,216.64,235.66,,,,,,,249.66,231.15,-0.07414083153088191,0
688548.SH,20260713,strict_only,3.0,45.0,44.27,48.53,44.1,42.6,44.95,42.79,40.9,43.46,39.84,39.36,42.0,,,,,,,44.1,40.9,-0.07256235827664403,0
688549.SH,20260713,layer2_m1_only,5.0,29.34,28.0,30.7,28.1,29.39,30.2,30.1,26.51,30.12,25.9,24.61,26.68,,,,,,,28.1,26.51,-0.056583629893238396,0
000021.SZ,20260709,layer2_m1_only,5.0,52.93,56.24,56.24,59.88,57.91,61.86,56.88,52.12,58.6,52.12,52.51,53.99,53.76,47.26,53.9,45.44,43.34,46.96,59.88,52.12,-0.12959251837007357,0
688432.SH,20260709,layer2_m1_only,5.0,45.93,53.77,53.77,52.31,56.6,60.78,51.5,49.1,55.41,49.0,48.38,49.0,47.18,41.46,47.37,39.65,36.96,41.37,52.31,49.1,-0.06136493978206847,0
002354.SZ,20260708,layer2_m1_only,5.0,8.5,8.02,8.6,8.0,8.08,8.42,8.23,8.54,8.89,8.65,8.0,8.89,7.96,7.73,8.19,7.57,7.69,7.95,8.0,8.64,0.08000000000000007,1
688549.SH,20260708,layer2_m1_only,5.0,32.9,33.13,35.0,33.96,35.38,35.47,34.3,29.33,35.44,29.34,28.0,30.7,28.1,29.39,30.2,30.1,26.51,30.12,33.96,29.33,-0.136336866902238,0
300319.SZ,20260707,strict_only,3.0,23.46,22.92,24.27,23.25,21.39,23.39,21.81,22.22,22.58,22.83,20.62,23.18,20.61,18.85,20.88,18.98,19.91,20.17,23.25,21.81,-0.06193548387096781,0
301526.SZ,20260707,overlap_core,1.0,41.47,40.3,42.31,40.9,37.16,41.75,37.91,38.85,39.77,40.12,37.77,43.0,36.41,33.96,37.45,33.67,39.08,40.0,40.9,37.91,-0.07310513447432765,0
600105.SH,20260707,overlap_core,1.0,49.06,49.05,50.67,49.25,47.58,50.18,48.98,50.66,50.74,50.75,49.04,53.33,47.43,44.94,48.81,45.13,48.6,48.85,49.25,50.66,0.028629441624365315,0
600206.SH,20260707,strict_only,3.0,51.59,55.98,55.98,57.8,53.98,59.95,55.25,59.38,59.38,62.0,60.0,64.13,58.2,54.0,62.25,53.04,52.63,54.84,57.8,55.25,-0.044117647058823484,0
688106.SH,20260707,strict_only,3.0,36.1,37.08,37.48,37.8,36.1,39.28,36.2,38.05,38.22,38.0,34.39,38.99,37.23,37.48,39.67,37.2,40.31,40.97,37.8,38.05,0.006613756613756516,0
688502.SH,20260707,overlap_core,1.0,550.0,533.8,562.8,533.7,533.0,559.81,545.34,600.21,605.2,605.11,611.93,698.27,608.0,598.54,650.71,605.0,589.02,632.44,533.7,576.3960000000001,0.08000000000000007,1
688549.SH,20260707,overlap_core,1.0,31.59,33.2,34.16,32.9,33.13,35.0,33.96,35.38,35.47,34.3,29.33,35.44,29.34,28.0,30.7,28.1,29.39,30.2,32.9,35.38,0.07537993920972652,0
001337.SZ,20260703,strict_only,3.0,39.0,41.21,41.21,40.61,39.08,42.9,38.33,36.76,38.5,36.69,37.25,38.6,36.79,37.65,38.23,37.86,37.88,39.2,40.61,36.76,-0.0948042354099976,0
002409.SZ,20260703,overlap_core,1.0,205.73,199.5,209.99,203.25,186.45,205.0,184.17,185.82,193.33,189.0,190.0,196.52,196.52,209.0,209.0,220.0,207.17,229.0,203.25,184.17,-0.09387453874538754,0
002536.SZ,20260703,strict_only,3.0,47.68,51.96,51.96,51.82,55.0,57.16,54.88,53.05,55.05,53.83,49.8,54.78,51.51,52.69,52.98,54.09,52.84,57.27,51.82,53.05,0.023736009262832924,0
300319.SZ,20260703,overlap_core,1.0,28.18,26.18,28.5,26.55,23.87,26.78,23.46,22.92,24.27,23.25,21.39,23.39,21.81,22.22,22.58,22.83,20.62,23.18,26.55,23.46,-0.11638418079096047,0
