ts_code,trade_date,priority_name,priority,T0_open,T0_close,T0_high,T1_open,T1_close,T1_high,T2_open,T2_close,T2_high,T3_open,T3_close,T3_high,T4_open,T4_close,T4_high,T5_open,T5_close,T5_high,buy,sell,return,target
301217.SZ,20260715,P3_global_china_expansion,3.0,136.89,127.4,137.96,125.11,127.21,133.6,,,,,,,,,,,,,125.11,,,
600403.SH,20260715,,0.0,5.18,5.63,5.63,5.63,5.25,6.06,,,,,,,,,,,,,5.63,,,
688300.SH,20260715,P3_global_china_expansion,3.0,183.92,166.31,186.0,165.25,158.4,172.0,,,,,,,,,,,,,165.25,,,
600330.SH,20260714,,0.0,21.55,22.97,23.15,22.5,23.43,24.17,22.4,21.36,22.99,,,,,,,,,,22.5,21.36,-0.05066666666666664,0
600869.SH,20260714,P3_global_china_expansion,3.0,20.63,21.45,21.55,21.75,20.43,22.22,20.19,18.95,20.49,,,,,,,,,,21.75,20.19,-0.07172413793103438,0
688300.SH,20260714,,0.0,168.44,180.32,183.17,183.92,166.31,186.0,165.25,158.4,172.0,,,,,,,,,,183.92,165.25,-0.10151152675076114,0
301526.SZ,20260713,,0.0,36.41,33.96,37.45,33.67,39.08,40.0,40.09,37.0,41.28,35.39,34.8,37.12,,,,,,,33.67,40.09,0.19067419067419067,1
600664.SH,20260713,,0.0,3.51,3.71,3.71,3.8,4.08,4.08,4.32,4.49,4.49,4.94,4.94,4.94,,,,,,,3.8,4.32,0.1368421052631581,1
688549.SH,20260713,,0.0,29.34,28.0,30.7,28.1,29.39,30.2,30.1,26.51,30.12,25.9,24.61,26.68,,,,,,,28.1,26.51,-0.056583629893238396,0
301526.SZ,20260710,,0.0,40.12,37.77,43.0,36.41,33.96,37.45,33.67,39.08,40.0,40.09,37.0,41.28,35.39,34.8,37.12,,,,36.41,33.67,-0.07525405108486671,0
600487.SH,20260710,,0.0,80.8,77.79,86.39,75.08,70.01,76.33,69.0,74.38,74.39,75.88,71.05,77.0,68.5,64.85,69.82,,,,75.08,69.0,-0.08098028769312726,0
605376.SH,20260710,P3_global_china_expansion,3.0,213.0,199.75,225.0,190.0,183.99,200.65,185.5,196.3,197.18,202.99,184.47,206.58,179.92,166.02,183.44,,,,190.0,205.20000000000002,0.08000000000000007,1
688549.SH,20260710,P3_global_china_expansion,3.0,34.3,29.33,35.44,29.34,28.0,30.7,28.1,29.39,30.2,30.1,26.51,30.12,25.9,24.61,26.68,,,,29.34,26.51,-0.09645535105657799,0
301526.SZ,20260709,P3_global_china_expansion,3.0,37.91,38.85,39.77,40.12,37.77,43.0,36.41,33.96,37.45,33.67,39.08,40.0,40.09,37.0,41.28,35.39,34.8,37.12,40.12,36.41,-0.09247258225324029,0
688432.SH,20260709,,0.0,45.93,53.77,53.77,52.31,56.6,60.78,51.5,49.1,55.41,49.0,48.38,49.0,47.18,41.46,47.37,39.65,36.96,41.37,52.31,49.1,-0.06136493978206847,0
688549.SH,20260709,,0.0,33.96,35.38,35.47,34.3,29.33,35.44,29.34,28.0,30.7,28.1,29.39,30.2,30.1,26.51,30.12,25.9,24.61,26.68,34.3,29.34,-0.14460641399416907,0
301526.SZ,20260708,P3_global_china_expansion,3.0,40.9,37.16,41.75,37.91,38.85,39.77,40.12,37.77,43.0,36.41,33.96,37.45,33.67,39.08,40.0,40.09,37.0,41.28,37.91,40.9428,0.08000000000000007,1
600487.SH,20260708,,0.0,81.78,76.96,82.5,78.18,80.06,80.58,80.8,77.79,86.39,75.08,70.01,76.33,69.0,74.38,74.39,75.88,71.05,77.0,78.18,84.43440000000001,0.08000000000000007,1
688549.SH,20260708,,0.0,32.9,33.13,35.0,33.96,35.38,35.47,34.3,29.33,35.44,29.34,28.0,30.7,28.1,29.39,30.2,30.1,26.51,30.12,33.96,29.33,-0.136336866902238,0
300319.SZ,20260707,,0.0,23.46,22.92,24.27,23.25,21.39,23.39,21.81,22.22,22.58,22.83,20.62,23.18,20.61,18.85,20.88,18.98,19.91,20.17,23.25,21.81,-0.06193548387096781,0
600353.SH,20260707,P3_global_china_expansion,3.0,45.55,40.68,46.0,40.01,37.16,41.3,37.43,40.88,40.88,43.96,42.2,44.97,43.04,38.19,45.23,38.95,41.28,41.3,40.01,37.43,-0.06448387903024244,0
