con_code,ts_code,list_status,list_date,delist_date,name,exchange,market,minute_bucket_id,minute_bucket_file
000009.SZ,000009.SZ,L,19910625,,中国宝安,SZSE,主板,1,bucket_01.parquet
000012.SZ,000012.SZ,L,19920228,,南玻A,SZSE,主板,2,bucket_02.parquet
000021.SZ,000021.SZ,L,19940202,,深科技,SZSE,主板,4,bucket_04.parquet
000027.SZ,000027.SZ,L,19930903,,深圳能源,SZSE,主板,5,bucket_05.parquet
000028.SZ,000028.SZ,L,19930809,,国药一致,SZSE,主板,5,bucket_05.parquet
000029.SZ,000029.SZ,L,19930915,,深深房A,SZSE,主板,5,bucket_05.parquet
000030.SZ,000030.SZ,L,19930929,,富奥股份,SZSE,主板,6,bucket_06.parquet
000032.SZ,000032.SZ,L,19931028,,深桑达A,SZSE,主板,6,bucket_06.parquet
000034.SZ,000034.SZ,L,19940509,,神州数码,SZSE,主板,6,bucket_06.parquet
000035.SZ,000035.SZ,L,19940408,,中国天楹,SZSE,主板,7,bucket_07.parquet
000039.SZ,000039.SZ,L,19940408,,中集集团,SZSE,主板,7,bucket_07.parquet
000048.SZ,000048.SZ,L,19941101,,京基智农,SZSE,主板,9,bucket_09.parquet
000049.SZ,000049.SZ,L,19950320,,德赛电池,SZSE,主板,9,bucket_09.parquet
000050.SZ,000050.SZ,L,19950315,,深天马A,SZSE,主板,10,bucket_10.parquet
000058.SZ,000058.SZ,L,19961226,,深赛格,SZSE,主板,11,bucket_11.parquet
000059.SZ,000059.SZ,L,19970130,,华锦股份,SZSE,主板,11,bucket_11.parquet
000060.SZ,000060.SZ,L,19970123,,中金岭南,SZSE,主板,12,bucket_12.parquet
000061.SZ,000061.SZ,L,19970110,,农产品,SZSE,主板,12,bucket_12.parquet
000062.SZ,000062.SZ,L,19970130,,深圳华强,SZSE,主板,12,bucket_12.parquet
000065.SZ,000065.SZ,L,19980605,,北方国际,SZSE,主板,13,bucket_13.parquet
000088.SZ,000088.SZ,L,19970728,,盐田港,SZSE,主板,17,bucket_17.parquet
000089.SZ,000089.SZ,L,19980420,,深圳机场,SZSE,主板,17,bucket_17.parquet
000099.SZ,000099.SZ,L,20000731,,中信海直,SZSE,主板,19,bucket_19.parquet
000155.SZ,000155.SZ,L,20000926,,川能动力,SZSE,主板,11,bucket_11.parquet
000156.SZ,000156.SZ,L,20000906,,华数传媒,SZSE,主板,11,bucket_11.parquet
000400.SZ,000400.SZ,L,19970418,,许继电气,SZSE,主板,0,bucket_00.parquet
000403.SZ,000403.SZ,L,19960628,,派林生物,SZSE,主板,0,bucket_00.parquet
000415.SZ,000415.SZ,L,19960716,,渤海租赁,SZSE,主板,3,bucket_03.parquet
000420.SZ,000420.SZ,L,19960802,,吉林化纤,SZSE,主板,4,bucket_04.parquet
000422.SZ,000422.SZ,L,19960815,,湖北宜化,SZSE,主板,4,bucket_04.parquet
000423.SZ,000423.SZ,L,19960729,,东阿阿胶,SZSE,主板,4,bucket_04.parquet
000426.SZ,000426.SZ,L,19960828,,兴业银锡,SZSE,主板,5,bucket_05.parquet
000429.SZ,000429.SZ,L,19980220,,粤高速A,SZSE,主板,5,bucket_05.parquet
000498.SZ,000498.SZ,L,19970609,,山东路桥,SZSE,主板,19,bucket_19.parquet
000503.SZ,000503.SZ,L,19921130,,国新健康,SZSE,主板,0,bucket_00.parquet
000513.SZ,000513.SZ,L,19931028,,丽珠集团,SZSE,主板,2,bucket_02.parquet
000519.SZ,000519.SZ,L,19931008,,中兵红箭,SZSE,主板,3,bucket_03.parquet
000528.SZ,000528.SZ,L,19931118,,柳工,SZSE,主板,5,bucket_05.parquet
000537.SZ,000537.SZ,L,19931210,,绿发电力,SZSE,主板,7,bucket_07.parquet
000539.SZ,000539.SZ,L,19931126,,粤电力A,SZSE,主板,7,bucket_07.parquet
000543.SZ,000543.SZ,L,19931220,,皖能电力,SZSE,主板,8,bucket_08.parquet
000550.SZ,000550.SZ,L,19931201,,江铃汽车,SZSE,主板,10,bucket_10.parquet
000552.SZ,000552.SZ,L,19940106,,甘肃能化,SZSE,主板,10,bucket_10.parquet
000555.SZ,000555.SZ,L,19940408,,神州信息,SZSE,主板,11,bucket_11.parquet
000557.SZ,000557.SZ,L,19940617,,西部创业,SZSE,主板,11,bucket_11.parquet
000559.SZ,000559.SZ,L,19940110,,万向钱潮,SZSE,主板,11,bucket_11.parquet
000563.SZ,000563.SZ,L,19940110,,陕国投A,SZSE,主板,12,bucket_12.parquet
000567.SZ,000567.SZ,L,19940525,,海德股份,SZSE,主板,13,bucket_13.parquet
000581.SZ,000581.SZ,L,19980924,,威孚高科,SZSE,主板,16,bucket_16.parquet
000582.SZ,000582.SZ,L,19951102,,北部湾港,SZSE,主板,16,bucket_16.parquet
000589.SZ,000589.SZ,L,19960308,,贵州轮胎,SZSE,主板,17,bucket_17.parquet
000591.SZ,000591.SZ,L,19960208,,太阳能,SZSE,主板,18,bucket_18.parquet
000598.SZ,000598.SZ,L,19960529,,兴蓉环境,SZSE,主板,19,bucket_19.parquet
000600.SZ,000600.SZ,L,19960606,,建投能源,SZSE,主板,0,bucket_00.parquet
000603.SZ,000603.SZ,L,19960823,,盛达资源,SZSE,主板,0,bucket_00.parquet
000612.SZ,000612.SZ,L,19960926,,焦作万方,SZSE,主板,2,bucket_02.parquet
000620.SZ,000620.SZ,L,19961029,,盈新发展,SZSE,主板,4,bucket_04.parquet
000623.SZ,000623.SZ,L,19961028,,吉林敖东,SZSE,主板,4,bucket_04.parquet
000628.SZ,000628.SZ,L,19961118,,高新发展,SZSE,主板,5,bucket_05.parquet
000629.SZ,000629.SZ,L,19961115,,钒钛股份,SZSE,主板,5,bucket_05.parquet
000636.SZ,000636.SZ,L,19961129,,风华高科,SZSE,主板,7,bucket_07.parquet
000650.SZ,000650.SZ,L,19961210,,仁和药业,SZSE,主板,10,bucket_10.parquet
000657.SZ,000657.SZ,L,19961205,,中钨高新,SZSE,主板,11,bucket_11.parquet
000672.SZ,000672.SZ,L,19961218,,上峰材料,SZSE,主板,14,bucket_14.parquet
000676.SZ,000676.SZ,L,19961224,,智度股份,SZSE,主板,15,bucket_15.parquet
000680.SZ,000680.SZ,L,19970122,,山推股份,SZSE,主板,16,bucket_16.parquet
000681.SZ,000681.SZ,L,19970121,,视觉中国,SZSE,主板,16,bucket_16.parquet
000682.SZ,000682.SZ,L,19970121,,东方电子,SZSE,主板,16,bucket_16.parquet
000683.SZ,000683.SZ,L,19970131,,博源化工,SZSE,主板,16,bucket_16.parquet
000685.SZ,000685.SZ,L,19970123,,中山公用,SZSE,主板,17,bucket_17.parquet
000686.SZ,000686.SZ,L,19970227,,东北证券,SZSE,主板,17,bucket_17.parquet
000688.SZ,000688.SZ,L,19970120,,国城矿业,SZSE,主板,17,bucket_17.parquet
000690.SZ,000690.SZ,L,19970128,,宝新能源,SZSE,主板,18,bucket_18.parquet
000703.SZ,000703.SZ,L,19970328,,恒逸石化,SZSE,主板,0,bucket_00.parquet
000709.SZ,000709.SZ,L,19970416,,河钢股份,SZSE,主板,1,bucket_01.parquet
000712.SZ,000712.SZ,L,19970415,,锦龙股份,SZSE,主板,2,bucket_02.parquet
000719.SZ,000719.SZ,L,19970331,,中原传媒,SZSE,主板,3,bucket_03.parquet
000723.SZ,000723.SZ,L,19970515,,美锦能源,SZSE,主板,4,bucket_04.parquet
000728.SZ,000728.SZ,L,19970616,,国元证券,SZSE,主板,5,bucket_05.parquet
000729.SZ,000729.SZ,L,19970716,,燕京啤酒,SZSE,主板,5,bucket_05.parquet
000733.SZ,000733.SZ,L,19970703,,振华科技,SZSE,主板,6,bucket_06.parquet
000737.SZ,000737.SZ,L,19970428,,北方铜业,SZSE,主板,7,bucket_07.parquet
000738.SZ,000738.SZ,L,19970626,,航发控制,SZSE,主板,7,bucket_07.parquet
000739.SZ,000739.SZ,L,19970509,,普洛药业,SZSE,主板,7,bucket_07.parquet
000750.SZ,000750.SZ,L,19970709,,国海证券,SZSE,主板,10,bucket_10.parquet
000756.SZ,000756.SZ,L,19970806,,新华制药,SZSE,主板,11,bucket_11.parquet
000758.SZ,000758.SZ,L,19970416,,中色股份,SZSE,主板,11,bucket_11.parquet
000761.SZ,000761.SZ,L,19980115,,本钢板材,SZSE,主板,12,bucket_12.parquet
000762.SZ,000762.SZ,L,19970708,,西藏矿业,SZSE,主板,12,bucket_12.parquet
000766.SZ,000766.SZ,L,19970430,,通化金马,SZSE,主板,13,bucket_13.parquet
000767.SZ,000767.SZ,L,19970609,,晋控电力,SZSE,主板,13,bucket_13.parquet
000778.SZ,000778.SZ,L,19970606,,新兴铸管,SZSE,主板,15,bucket_15.parquet
000783.SZ,000783.SZ,L,19970731,,长江证券,SZSE,主板,16,bucket_16.parquet
000785.SZ,000785.SZ,L,19970711,,居然智家,SZSE,主板,17,bucket_17.parquet
000791.SZ,000791.SZ,L,19971014,,甘肃能源,SZSE,主板,18,bucket_18.parquet
000795.SZ,000795.SZ,L,19970808,,英洛华,SZSE,主板,19,bucket_19.parquet
000801.SZ,000801.SZ,L,19980506,,四川九洲,SZSE,主板,0,bucket_00.parquet
000810.SZ,000810.SZ,L,19980602,,创维数字,SZSE,主板,2,bucket_02.parquet
000811.SZ,000811.SZ,L,19980528,,冰轮环境,SZSE,主板,2,bucket_02.parquet
000813.SZ,000813.SZ,L,19980519,,德展健康,SZSE,主板,2,bucket_02.parquet
000825.SZ,000825.SZ,L,19981021,,太钢不锈,SZSE,主板,5,bucket_05.parquet
000828.SZ,000828.SZ,L,19970617,,东莞控股,SZSE,主板,5,bucket_05.parquet
000829.SZ,000829.SZ,L,19971202,,天音控股,SZSE,主板,5,bucket_05.parquet
000830.SZ,000830.SZ,L,19980807,,鲁西化工,SZSE,主板,6,bucket_06.parquet
000831.SZ,000831.SZ,L,19980911,,中国稀土,SZSE,主板,6,bucket_06.parquet
000833.SZ,000833.SZ,L,19981111,,粤桂股份,SZSE,主板,6,bucket_06.parquet
