model,ts_code,trade_date,priority_name,priority,target
h2m80d50_dual,002409.SZ,20260811,strict_only,3,
h2m80d50_dual,300548.SZ,20260811,strict_only,3,
h2m80d50_dual,688048.SH,20260811,strict_only,3,
h2m80d50_dual,688362.SH,20260811,strict_only,3,
h2m80d50_dual,688409.SH,20260811,strict_only,3,
h2m80d50_dual,688432.SH,20260811,strict_only,3,
h2m80d50_dual,688652.SH,20260811,strict_only,3,
h2m80d50_dual,000672.SZ,20260810,overlap_core,1,
h2m80d50_dual,002837.SZ,20260810,strong_only,2,
h2m80d50_dual,300151.SZ,20260810,overlap_core,1,
h2m80d50_dual,300373.SZ,20260810,strict_only,3,
h2m80d50_dual,300602.SZ,20260810,overlap_core,1,
h2m80d50_dual,603308.SH,20260810,strict_only,3,
h2m80d50_dual,688262.SH,20260810,strict_only,3,
h2m80d50_dual,300131.SZ,20260807,layer2_m1_only,5,
h2m80d50_dual,688279.SH,20260807,layer2_m1_only,5,
h2m80d50_dual,301458.SZ,20260806,layer2_m1_only,5,
h2m80d50_dual,688337.SH,20260806,layer2_m1_only,5,
h2m80d50_dual,688001.SH,20260731,layer2_m1_only,5,
h2m80d50_dual,688766.SH,20260731,layer2_m1_only,5,
h2m80d50_dual,002428.SZ,20260727,layer2_m1_only,5,
h2m80d50_dual,605376.SH,20260727,layer2_m1_only,5,
