feature,importance_gain,importance_split
mean_15m_range,521956.20920562744,92
beta_to_sw_l2_20d_lag3,127164.27200317383,2
mean_15m_range_lag1,73592.86474609375,54
ret_1_rel_csi1500_ew_lag2,35970.6015625,1
mean_15m_range_lag2,31958.850593566895,26
mkt_mf_inst_ma_3_lag1,30039.202362060547,110
max_5m_range,24980.665351867676,21
csi1500_ew_mom_10,20872.862586975098,130
max_15m_range,18359.16111755371,20
turnover_f_log,16507.903930664062,66
mean_15m_range_lag3,11749.492656707764,32
max_15m_range_lag1,11457.274360656738,18
max_15m_range_lag2,11023.166900634766,19
margin_pressure,10436.298431396484,45
sw_l2_oc_ret_lag10,10427.271896362305,5
mkt_mf_inst_ma_5_lag1,9934.868125915527,53
bipower_variation,9823.1298828125,17
spx_swing_lag1,9142.860710144043,40
csi1500_mcap_mom_5_lag3,8291.46646118164,30
max_15m_range_lag3,8259.007019042969,16
margin_pressure_lag1,7479.203941345215,26
max_15m_range_lag5,6750.587951660156,21
csi1500_mcap_mom_5_lag2,6081.587207794189,48
mkt_mf_inst_ma_5_lag3,5699.668083190918,55
csi1500_ew_mom_5_lag2,5575.601707458496,21
mkt_ret_spread_lag3,5304.812652587891,26
mean_15m_range_lag5,5182.4750900268555,25
turnover_f_log_lag1,4864.645973205566,14
spx_vol_z_lag2,4582.872509002686,45
mean_5m_range,4464.973037719727,9
ixic_vol_z_lag3,4357.730480194092,39
csi1500_mcap_top10_weight_lag1,4288.01171875,41
variance_top20_share_lag1,4144.733123779297,26
n225_ret_lag5,4073.35457611084,35
csi1500_mcap_mom_10,4045.1238899230957,25
late_up_bar_ratio,3977.3185424804688,12
last_5m_range,3851.9629821777344,14
vol_over_csi1500_mcap_vol_lag10,3681.3321266174316,28
mkt_flow_concentration_lag5,3608.4733963012695,32
mkt_mf_inst_ma_3_lag2,3605.7051010131836,20
mkt_ret_sh_lag1,3355.369888305664,27
realized_vol_1m_lag3,3344.3500595092773,6
mkt_mf_inst_ma_5_lag2,3266.4766883850098,23
hsi_ret,3221.530906677246,30
mkt_mf_inst_ma_3,3140.7287788391113,24
hktech_swing_lag3,3132.644390106201,33
hsi_ret_lag1,3103.0637702941895,27
csi1500_mcap_mom_20,3039.3579330444336,25
ixic_vol_z_lag2,3037.2025833129883,28
vol_over_csi1500_ew_vol_lag10,3006.140396118164,24
vwap_log_ret_3_minus_10_lag5,2992.8127975463867,11
circ_mv_z,2942.7848739624023,23
spx_vol_z_lag3,2916.965003967285,33
csi1500_ew_mom_20_lag2,2891.5515747070312,17
csi1500_ew_mom_20_lag1,2891.3098754882812,17
mkt_mf_inst_z_20_lag5,2848.3333892822266,15
