model,ts_code,trade_date,priority_name,priority,target,ret,ret_ew,buy,sell,holding_days,exit_reason,csi1500_ew
h3m55d15_consensus,000930.SZ,20260909,KEEP50_AND_CURRENT,1,,,,,,,,
h3m55d15_consensus,002046.SZ,20260909,KEEP50_AND_CURRENT,1,,,,,,,,
h3m55d15_consensus,603308.SH,20260909,KEEP60_ONLY,2,,,,,,,,
h3m55d15_consensus,600737.SH,20260908,KEEP60_ONLY,2,,0.06738544474393526,0.06971046857014407,18.55,,1.0,,-0.002325023826208805
h3m55d15_consensus,601952.SH,20260908,KEEP50_AND_CURRENT,1,,-0.006763285024154575,-0.00443826119794577,10.35,,1.0,,-0.002325023826208805
h3m55d15_consensus,688519.SH,20260908,KEEP50_AND_CURRENT,1,,-0.0011302143982465651,0.00119480942796224,291.98,,1.0,,-0.002325023826208805
h3m55d15_consensus,600186.SH,20260904,KEEP50_AND_CURRENT,1,1.0,0.06763349386342665,0.05499999999999994,11.69,12.480635543263457,2.0,profit_intraday,0.012633493863426715
h3m55d15_consensus,600869.SH,20260904,KEEP50_AND_CURRENT,1,1.0,0.06763349386342665,0.05499999999999994,20.98,22.39895070125469,2.0,profit_intraday,0.012633493863426715
h3m55d15_consensus,603228.SH,20260904,KEEP60_ONLY,2,1.0,0.11133562335825409,0.09870212949482737,98.98,110.0,2.0,profit_open,0.012633493863426715
h3m55d15_consensus,000712.SZ,20260903,KEEP60_AND_CURRENT,2,0.0,-0.011877788655436095,-0.015000000000000013,12.5,12.35152764180705,2.0,stop_close,0.003122211344563919
h3m55d15_consensus,002536.SZ,20260903,KEEP60_ONLY,2,0.0,-0.08546059933407324,-0.08858281067863716,63.07,57.68,2.0,t1_stop_t2_open,0.003122211344563919
h3m55d15_consensus,688185.SH,20260903,KEEP60_AND_CURRENT,2,0.0,-0.03718365615721775,-0.04030586750178167,70.73,68.1,2.0,t1_stop_t2_open,0.003122211344563919
h3m55d15_consensus,300917.SZ,20260902,KEEP50_AND_CURRENT,1,0.0,-0.01191310441485638,-0.008976583830668239,28.54,28.2,2.0,t1_stop_t2_open,-0.0029365205841881403
h3m55d15_consensus,600869.SH,20260902,KEEP60_ONLY,2,1.0,0.07179226069246436,0.0747287812766525,19.64,21.05,2.0,profit_open,-0.0029365205841881403
h3m55d15_consensus,601606.SH,20260902,KEEP50_AND_CURRENT,1,0.0,-0.05681191395477092,-0.05387539337058278,36.26,34.2,2.0,t1_stop_t2_open,-0.0029365205841881403
h3m55d15_consensus,002041.SZ,20260901,KEEP60_ONLY,2,0.0,-0.09276595744680849,-0.07911987458495606,11.75,10.66,2.0,t1_stop_t2_open,-0.013646082861852427
h3m55d15_consensus,002104.SZ,20260901,KEEP50_AND_CURRENT,1,1.0,0.08603896103896114,0.09968504390081356,12.32,13.38,2.0,profit_open,-0.013646082861852427
h3m55d15_consensus,688347.SH,20260901,KEEP50_AND_CURRENT,1,0.0,-0.03203914725373558,-0.015000000000000013,241.0,233.27856551184973,3.0,stop_close,-0.017039147253735565
h3m55d15_consensus,002081.SZ,20260831,KEEP60_ONLY,2,0.0,-0.07540983606557372,-0.06068629988129337,6.1,5.64,2.0,t1_stop_t2_open,-0.01472353618428035
h3m55d15_consensus,300378.SZ,20260831,KEEP60_AND_CURRENT,2,0.0,-0.02365810226405496,-0.009432351793909222,39.31,38.38,3.0,expiry_close,-0.014225750470145737
h3m55d15_consensus,688037.SH,20260831,KEEP60_AND_CURRENT,2,0.0,-0.08818644667701281,-0.07346291049273246,367.29,334.9,2.0,t1_stop_t2_open,-0.01472353618428035
h3m55d15_consensus,000059.SZ,20260828,KEEP60_ONLY,2,1.0,0.05796302146367682,0.05499999999999994,5.67,5.998650331699047,2.0,profit_intraday,0.002963021463676885
h3m55d15_consensus,300378.SZ,20260828,KEEP50_AND_CURRENT,1,1.0,0.0934631432545201,0.09050012179084321,35.95,39.31,2.0,profit_open,0.002963021463676885
h3m55d15_consensus,600378.SH,20260828,KEEP50_AND_CURRENT,1,0.0,-0.012036978536323129,-0.015000000000000013,51.35,50.73190115215981,2.0,stop_close,0.002963021463676885
h3m55d15_consensus,000712.SZ,20260827,KEEP60_ONLY,2,1.0,0.08983050847457608,0.08623545299135849,11.8,12.86,2.0,profit_open,0.0035950554832175907
h3m55d15_consensus,600378.SH,20260827,KEEP60_ONLY,2,0.0,-0.011994744522032863,-0.015000000000000013,53.31,52.67056016953043,3.0,stop_close,0.0030052554779671503
h3m55d15_consensus,601869.SH,20260827,KEEP60_ONLY,2,0.0,-0.060303023272001655,-0.06389807875521925,430.99,405.0,2.0,t1_stop_t2_open,0.0035950554832175907
h3m55d15_consensus,002041.SZ,20260826,CURRENT_ONLY,2,1.0,0.06957968707060247,0.05499999999999994,10.88,11.637026995328156,2.0,profit_intraday,0.014579687070602532
h3m55d15_consensus,601869.SH,20260826,CURRENT_ONLY,2,1.0,0.09666666666666668,0.08208697959606415,393.0,430.99,2.0,profit_open,0.014579687070602532
h3m55d15_consensus,002041.SZ,20260825,KEEP50_AND_CURRENT,1,1.0,0.07497867056479213,0.05499999999999994,10.88,11.69576793574494,3.0,profit_intraday,0.01997867056479219
h3m55d15_consensus,600508.SH,20260825,KEEP60_ONLY,2,1.0,0.0749357218429254,0.05499999999999994,10.35,11.125584721074278,2.0,profit_intraday,0.01993572184292547
h3m55d15_consensus,688362.SH,20260825,KEEP50_AND_CURRENT,1,0.0,0.005967741935483772,-0.013967979907441697,62.0,62.37,2.0,t1_stop_t2_open,0.01993572184292547
h3m55d15_consensus,002017.SZ,20260824,KEEP50_AND_CURRENT,1,1.0,0.06848517987017821,0.05499999999999994,15.39,16.443986918202043,2.0,profit_intraday,0.013485179870178277
h3m55d15_consensus,600353.SH,20260824,KEEP50_AND_CURRENT,1,0.0,-0.0015148201298216257,-0.014999999999999902,35.46,35.406284478196525,2.0,stop_close,0.013485179870178277
h3m55d15_consensus,688766.SH,20260824,KEEP50_AND_CURRENT,1,1.0,0.08321817915349894,0.05499999999999994,385.05,417.0931598830548,3.0,profit_intraday,0.028218179153499
h3m55d15_consensus,300142.SZ,20260820,KEEP60_ONLY,2,1.0,0.04025446164478996,0.05499999999999994,15.72,16.3528001370561,2.0,profit_intraday,-0.014745538355209975
