model,ts_code,trade_date,priority_name,priority,target,ret,ret_ew,buy,sell,holding_days,exit_reason,csi1500_ew
h3m55d15_consensus,002487.SZ,20260917,KEEP50_AND_CURRENT,1,,,,,,,,
h3m55d15_consensus,301526.SZ,20260917,KEEP50_AND_CURRENT,1,,,,,,,,
h3m55d15_consensus,688519.SH,20260917,KEEP60_ONLY,2,,,,,,,,
h3m55d15_consensus,002396.SZ,20260916,KEEP50_AND_CURRENT,1,,0.014608233731739917,0.017736872834753226,37.65,,1.0,,-0.0031286391030133087
h3m55d15_consensus,003031.SZ,20260916,KEEP60_ONLY,2,,-0.002178649237472685,0.0009499898655406236,137.7,,1.0,,-0.0031286391030133087
h3m55d15_consensus,600105.SH,20260916,KEEP50_AND_CURRENT,1,,-0.018908932840686732,-0.015780293737673423,46.01,,1.0,,-0.0031286391030133087
h3m55d15_consensus,301526.SZ,20260915,CURRENT_ONLY,2,1.0,0.06284021451513477,0.05499999999999994,31.42,33.394439540065534,2.0,profit_intraday,0.007840214515134836
h3m55d15_consensus,688519.SH,20260915,CURRENT_ONLY,2,0.0,-0.007159785484865289,-0.015000000000000124,344.52,342.0533107047542,2.0,stop_close,0.007840214515134836
h3m55d15_consensus,002212.SZ,20260914,KEEP60_ONLY,2,0.0,-0.12515644555694616,-0.12969997037808623,7.99,6.99,2.0,t1_stop_t2_open,0.004543524821140066
h3m55d15_consensus,002897.SZ,20260914,KEEP50_AND_CURRENT,1,0.0,-0.013599329331294374,-0.015000000000000124,72.01,71.0307122948535,3.0,stop_close,0.0014006706687057502
h3m55d15_consensus,301526.SZ,20260914,KEEP50_AND_CURRENT,1,1.0,0.05640067066870569,0.05499999999999994,30.85,32.58996069012957,3.0,profit_intraday,0.0014006706687057502
h3m55d15_consensus,000048.SZ,20260911,CURRENT_ONLY,2,0.0,-0.0753676470588236,-0.07224879919577198,21.76,20.12,2.0,t1_stop_t2_open,-0.0031188478630516103
h3m55d15_consensus,605376.SH,20260911,CURRENT_ONLY,2,1.0,0.05188115213694844,0.05500000000000005,131.79,138.62741704012842,2.0,profit_intraday,-0.0031188478630516103
h3m55d15_consensus,600667.SH,20260910,KEEP60_ONLY,2,0.0,-0.03148335112461964,-0.015000000000000013,19.44,18.827963654137395,2.0,stop_close,-0.016483351124619627
h3m55d15_consensus,600737.SH,20260910,KEEP50_AND_CURRENT,1,0.0,-0.09117137911136752,-0.0746880279867479,17.33,15.75,2.0,t1_stop_t2_open,-0.016483351124619627
h3m55d15_consensus,688147.SH,20260910,KEEP50_AND_CURRENT,1,0.0,-0.013333333333333308,0.009434147450840369,102.0,100.64,3.0,expiry_close,-0.022767480784173677
h3m55d15_consensus,000930.SZ,20260909,KEEP50_AND_CURRENT,1,0.0,-0.14473684210526316,-0.11569074784947819,6.84,5.85,2.0,t1_stop_t2_open,-0.02904609425578497
h3m55d15_consensus,002046.SZ,20260909,KEEP50_AND_CURRENT,1,0.0,-0.044046094255784984,-0.015000000000000013,60.5,57.83521129752501,2.0,stop_close,-0.02904609425578497
h3m55d15_consensus,603308.SH,20260909,KEEP60_ONLY,2,0.0,-0.043695652173913024,-0.014649557918128053,46.0,43.99,2.0,t1_stop_t2_open,-0.02904609425578497
h3m55d15_consensus,600737.SH,20260908,KEEP60_ONLY,2,1.0,0.05013477088948792,0.06196135356304766,18.55,19.48,2.0,profit_open,-0.011826582673559738
h3m55d15_consensus,601952.SH,20260908,KEEP50_AND_CURRENT,1,1.0,0.0431734173264402,0.05499999999999994,10.35,10.796844869328655,2.0,profit_intraday,-0.011826582673559738
h3m55d15_consensus,688519.SH,20260908,KEEP50_AND_CURRENT,1,1.0,0.0431734173264402,0.05499999999999994,291.98,304.58577439097405,2.0,profit_intraday,-0.011826582673559738
h3m55d15_consensus,600186.SH,20260904,KEEP50_AND_CURRENT,1,1.0,0.06763349386342665,0.05499999999999994,11.69,12.480635543263457,2.0,profit_intraday,0.012633493863426715
