policy,dates,signal_days,trades,precision,signal_day_rate,bad_days,normal_days,good_days,avg_trade_ret,profit_factor_day,max_drawdown_day,sharpe_day
pooled_seed_vote_top1,60,60,60,0.48333333333333334,1.0,31,0,29,0.010252809,1.393097,-0.40056992,2.243119887912406
pooled_seed_vote_top3,60,60,180,0.4444444444444444,1.0,15,19,26,0.0048850286,1.2728187,-0.35993773,1.5711180756172745
pooled_seed_vote_top5,60,60,300,0.4166666666666667,1.0,12,24,24,0.0036880828,1.1933497,-0.4003662,1.1575312982764294
strict_shared_top1,60,31,31,0.5161290322580645,0.5166666666666667,15,0,16,0.010989821,1.4656416,-0.16968757,1.8568463130129909
top1500_lr20_l2_12_seed_vote_top1,60,60,60,0.43333333333333335,1.0,34,0,26,0.0016192232,1.0507187,-0.41921663,0.3386662766418643
top1500_lr20_l2_12_seed_vote_top3,60,60,180,0.42777777777777776,1.0,16,21,23,0.003512968,1.1819977,-0.33781904,1.1079863121571452
top1500_lr20_l2_12_seed_vote_top5,60,60,300,0.41,1.0,12,26,22,0.0039488375,1.2245739,-0.38001996,1.2808193644352575
top1600_leaf600_seed_vote_top1,60,60,60,0.5,1.0,30,0,30,0.011933245,1.505035,-0.4259138,2.824659010255389
top1600_leaf600_seed_vote_top3,60,60,180,0.4444444444444444,1.0,18,14,28,0.0055724373,1.2502524,-0.47651297,1.4309776957809102
top1600_leaf600_seed_vote_top5,60,60,300,0.4166666666666667,1.0,12,28,20,0.0056174276,1.2878536,-0.44508916,1.6081462108106368
