policy,quality,days,trades,tp,precision
pooled_seed_vote_top1,bad,31,31,0,0.0
pooled_seed_vote_top1,good,29,29,29,1.0
pooled_seed_vote_top3,bad,15,45,0,0.0
pooled_seed_vote_top3,good,26,78,61,0.782051282051282
pooled_seed_vote_top3,normal,19,57,19,0.3333333333333333
pooled_seed_vote_top5,bad,12,60,0,0.0
pooled_seed_vote_top5,good,24,120,90,0.75
pooled_seed_vote_top5,normal,24,120,35,0.2916666666666667
strict_shared_top1,bad,15,15,0,0.0
strict_shared_top1,good,16,16,16,1.0
top1500_lr20_l2_12_seed_vote_top1,bad,34,34,0,0.0
top1500_lr20_l2_12_seed_vote_top1,good,26,26,26,1.0
top1500_lr20_l2_12_seed_vote_top3,bad,16,48,0,0.0
top1500_lr20_l2_12_seed_vote_top3,good,23,69,56,0.8115942028985508
top1500_lr20_l2_12_seed_vote_top3,normal,21,63,21,0.3333333333333333
top1500_lr20_l2_12_seed_vote_top5,bad,12,60,0,0.0
top1500_lr20_l2_12_seed_vote_top5,good,22,110,82,0.7454545454545455
top1500_lr20_l2_12_seed_vote_top5,normal,26,130,41,0.3153846153846154
top1600_leaf600_seed_vote_top1,bad,30,30,0,0.0
top1600_leaf600_seed_vote_top1,good,30,30,30,1.0
top1600_leaf600_seed_vote_top3,bad,18,54,0,0.0
top1600_leaf600_seed_vote_top3,good,28,84,66,0.7857142857142857
top1600_leaf600_seed_vote_top3,normal,14,42,14,0.3333333333333333
top1600_leaf600_seed_vote_top5,bad,12,60,0,0.0
top1600_leaf600_seed_vote_top5,good,20,100,81,0.81
top1600_leaf600_seed_vote_top5,normal,28,140,44,0.3142857142857143
