model,ts_code,trade_date,priority_name,priority,target,ret,ret_ew,buy,sell,holding_days,exit_reason,csi1500_ew
h5m80d50_direction,300672.SZ,20260811,H5_COMPETING_DIRECTION_TOP3,1,,,,,,,,
h5m80d50_direction,688048.SH,20260811,H5_COMPETING_DIRECTION_TOP3,1,,,,,,,,
h5m80d50_direction,688548.SH,20260811,H5_COMPETING_DIRECTION_TOP3,1,,,,,,,,
h5m80d50_direction,300548.SZ,20260810,H5_COMPETING_DIRECTION_TOP3,1,,0.0324744716219425,0.03777393138401375,168.44,,1.0,,-0.005299459762071246
h5m80d50_direction,688048.SH,20260810,H5_COMPETING_DIRECTION_TOP3,1,,0.02622302158273393,0.031522481344805175,278.0,,1.0,,-0.005299459762071246
h5m80d50_direction,688150.SH,20260810,H5_COMPETING_DIRECTION_TOP3,1,,-0.011813930593157829,-0.006514470831086583,40.63,,1.0,,-0.005299459762071246
h5m80d50_direction,300870.SZ,20260807,H5_COMPETING_DIRECTION_TOP3,1,0.0,-0.10057092665788303,-0.10392191529610939,227.7,204.8,2.0,t1_stop_t2_open,0.00335098863822636
h5m80d50_direction,688766.SH,20260807,H5_COMPETING_DIRECTION_TOP3,1,0.0,-0.07108136309266289,-0.07443235173088925,392.93,365.0,2.0,t1_stop_t2_open,0.00335098863822636
h5m80d50_direction,688800.SH,20260807,H5_COMPETING_DIRECTION_TOP3,1,0.0,-0.05239495071762068,-0.05574593935584704,57.83,54.8,2.0,t1_stop_t2_open,0.00335098863822636
h5m80d50_direction,002222.SZ,20260806,H5_COMPETING_DIRECTION_TOP3,1,,0.04867109634551503,0.03447661061264973,60.2,,3.0,,0.014194485732865303
h5m80d50_direction,301392.SZ,20260806,H5_COMPETING_DIRECTION_TOP3,1,1.0,0.11537974683544294,0.0957819435706797,158.0,176.23,2.0,profit_open,0.019597803264763236
h5m80d50_direction,601208.SH,20260806,H5_COMPETING_DIRECTION_TOP3,1,1.0,0.11370606275064876,0.09410825948588553,42.39,47.21,2.0,profit_open,0.019597803264763236
h5m80d50_direction,002436.SZ,20260805,H5_COMPETING_DIRECTION_TOP3,1,1.0,0.08963195435374738,0.08000000000000007,29.66,32.31848376613215,2.0,profit_intraday,0.009631954353747307
h5m80d50_direction,688313.SH,20260805,H5_COMPETING_DIRECTION_TOP3,1,1.0,0.08963195435374738,0.08000000000000007,112.6,122.69255806023195,2.0,profit_intraday,0.009631954353747307
h5m80d50_direction,688766.SH,20260805,H5_COMPETING_DIRECTION_TOP3,1,1.0,0.08963195435374738,0.08000000000000007,350.01,381.3820803433551,2.0,profit_intraday,0.009631954353747307
h5m80d50_direction,300570.SZ,20260804,H5_COMPETING_DIRECTION_TOP3,1,1.0,0.10692779686178744,0.08000000000000007,128.52,142.26236045267694,3.0,profit_intraday,0.026927796861787368
h5m80d50_direction,301392.SZ,20260804,H5_COMPETING_DIRECTION_TOP3,1,1.0,0.12910601326118432,0.11315785466239547,131.21,148.15,2.0,profit_open,0.015948158598788842
h5m80d50_direction,688048.SH,20260804,H5_COMPETING_DIRECTION_TOP3,1,1.0,0.09594815859878891,0.08000000000000007,244.61,268.07987907484977,2.0,profit_intraday,0.015948158598788842
h5m80d50_direction,688017.SH,20260803,H5_COMPETING_DIRECTION_TOP3,1,0.0,0.06229518628106012,0.010661485524016134,314.31,333.89,5.0,expiry_close,0.05163370075704399
h5m80d50_direction,688141.SH,20260803,H5_COMPETING_DIRECTION_TOP3,1,1.0,0.1126208235333015,0.08000000000000007,109.08,121.36467943101252,2.0,profit_intraday,0.032620823533301424
