model,ts_code,trade_date,priority_name,priority,target,ret,ret_ew,buy,sell,holding_days,exit_reason,csi1500_ew
h5m80d50_direction,000712.SZ,20260828,H5_COMPETING_DIRECTION_TOP3,1,,0.009331259720062324,0.005778463086121288,12.86,,1.0,,0.0035527966339410355
h5m80d50_direction,600378.SH,20260828,H5_COMPETING_DIRECTION_TOP3,1,,0.03232716650438161,0.028774369870440575,51.35,,1.0,,0.0035527966339410355
h5m80d50_direction,688300.SH,20260828,H5_COMPETING_DIRECTION_TOP3,1,,0.06618053253784106,0.06262773590390003,181.02,,1.0,,0.0035527966339410355
h5m80d50_direction,000712.SZ,20260827,H5_COMPETING_DIRECTION_TOP3,1,1.0,0.08983050847457608,0.08623545299135849,11.8,12.86,2.0,profit_open,0.0035950554832175907
h5m80d50_direction,301205.SZ,20260827,H5_COMPETING_DIRECTION_TOP3,1,0.0,-0.046404944516782454,-0.050000000000000044,332.8,317.3564344648148,2.0,stop_close,0.0035950554832175907
h5m80d50_direction,688300.SH,20260827,H5_COMPETING_DIRECTION_TOP3,1,,-0.029028525431403218,-0.03262358091462081,198.77,,2.0,,0.0035950554832175907
h5m80d50_direction,301047.SZ,20260826,H5_COMPETING_DIRECTION_TOP3,1,0.0,-0.03181571763230828,-0.050000000000000155,104.0,100.69116536623994,3.0,stop_close,0.018184282367691873
h5m80d50_direction,688185.SH,20260826,H5_COMPETING_DIRECTION_TOP3,1,1.0,0.11530120481927697,0.10072151774867444,83.0,92.57,2.0,profit_open,0.014579687070602532
h5m80d50_direction,688300.SH,20260826,H5_COMPETING_DIRECTION_TOP3,1,1.0,0.256924244340458,0.2423445572698555,158.14,198.77,2.0,profit_open,0.014579687070602532
h5m80d50_direction,301205.SZ,20260825,H5_COMPETING_DIRECTION_TOP3,1,1.0,0.09997867056479226,0.08000000000000007,303.56,333.90952523664834,3.0,profit_intraday,0.01997867056479219
h5m80d50_direction,600508.SH,20260825,H5_COMPETING_DIRECTION_TOP3,1,1.0,0.09993572184292554,0.08000000000000007,10.35,11.384334721074278,2.0,profit_intraday,0.01993572184292547
h5m80d50_direction,688596.SH,20260825,H5_COMPETING_DIRECTION_TOP3,1,0.0,-0.030021329435207855,-0.050000000000000044,70.0,67.89850693953545,3.0,stop_close,0.01997867056479219
