model,ts_code,trade_date,priority_name,priority,target
h5m80d50_ensemble,002409.SZ,20260811,CONSENSUS_3,1,
h5m80d50_ensemble,300672.SZ,20260811,FAMILY_ONLY,3,
h5m80d50_ensemble,301308.SZ,20260811,CONSENSUS_2,2,
h5m80d50_ensemble,688048.SH,20260811,FAMILY_ONLY,3,
h5m80d50_ensemble,688200.SH,20260811,F220_TOP1_LATE_EARLY_GATE|FAMILY_ONLY,1,
h5m80d50_ensemble,688548.SH,20260811,FAMILY_ONLY,3,
h5m80d50_ensemble,002080.SZ,20260810,FAMILY_ONLY,3,
h5m80d50_ensemble,002281.SZ,20260810,FAMILY_ONLY,3,
h5m80d50_ensemble,300260.SZ,20260810,FAMILY_ONLY,3,
h5m80d50_ensemble,300548.SZ,20260810,F220_TOP1_LATE_EARLY_GATE|FAMILY_ONLY,1,
h5m80d50_ensemble,301308.SZ,20260810,FAMILY_ONLY,3,
h5m80d50_ensemble,688048.SH,20260810,CONSENSUS_2,2,
h5m80d50_ensemble,688150.SH,20260810,FAMILY_ONLY,3,
h5m80d50_ensemble,688200.SH,20260810,FAMILY_ONLY,3,
h5m80d50_ensemble,002851.SZ,20260807,FAMILY_ONLY,3,
h5m80d50_ensemble,300666.SZ,20260807,FAMILY_ONLY,3,
h5m80d50_ensemble,300870.SZ,20260807,FAMILY_ONLY,3,
h5m80d50_ensemble,600206.SH,20260807,F220_TOP1_LATE_EARLY_GATE|CONSENSUS_2,1,
h5m80d50_ensemble,688403.SH,20260807,FAMILY_ONLY,3,
h5m80d50_ensemble,688432.SH,20260807,FAMILY_ONLY,3,
h5m80d50_ensemble,688766.SH,20260807,FAMILY_ONLY,3,
h5m80d50_ensemble,688800.SH,20260807,FAMILY_ONLY,3,
h5m80d50_ensemble,000811.SZ,20260806,FAMILY_ONLY,3,
h5m80d50_ensemble,002222.SZ,20260806,FAMILY_ONLY,3,
h5m80d50_ensemble,002851.SZ,20260806,FAMILY_ONLY,3,
h5m80d50_ensemble,300811.SZ,20260806,FAMILY_ONLY,3,
h5m80d50_ensemble,301392.SZ,20260806,CONSENSUS_2,2,
h5m80d50_ensemble,601208.SH,20260806,FAMILY_ONLY,3,
h5m80d50_ensemble,688313.SH,20260806,FAMILY_ONLY,3,
h5m80d50_ensemble,688519.SH,20260806,FAMILY_ONLY,3,
h5m80d50_ensemble,002080.SZ,20260805,F220_TOP1_LATE_EARLY_GATE|FAMILY_ONLY,1,
h5m80d50_ensemble,002436.SZ,20260805,FAMILY_ONLY,3,
h5m80d50_ensemble,300620.SZ,20260805,FAMILY_ONLY,3,
h5m80d50_ensemble,601208.SH,20260805,FAMILY_ONLY,3,
h5m80d50_ensemble,688313.SH,20260805,FAMILY_ONLY,3,
h5m80d50_ensemble,688432.SH,20260805,FAMILY_ONLY,3,
h5m80d50_ensemble,688766.SH,20260805,CONSENSUS_3,1,
h5m80d50_ensemble,002428.SZ,20260804,FAMILY_ONLY,3,
h5m80d50_ensemble,300570.SZ,20260804,FAMILY_ONLY,3,
h5m80d50_ensemble,301392.SZ,20260804,FAMILY_ONLY,3,
h5m80d50_ensemble,301611.SZ,20260804,CONSENSUS_3,1,
h5m80d50_ensemble,688048.SH,20260804,FAMILY_ONLY,3,
h5m80d50_ensemble,688052.SH,20260804,FAMILY_ONLY,3,
h5m80d50_ensemble,688652.SH,20260804,FAMILY_ONLY,3,
h5m80d50_ensemble,002484.SZ,20260803,FAMILY_ONLY,3,
h5m80d50_ensemble,605376.SH,20260803,CONSENSUS_2,2,
h5m80d50_ensemble,688017.SH,20260803,FAMILY_ONLY,3,
h5m80d50_ensemble,688141.SH,20260803,CONSENSUS_2,2,
h5m80d50_ensemble,688300.SH,20260803,F220_TOP1_LATE_EARLY_GATE|FAMILY_ONLY,1,
