model,ts_code,trade_date,priority_name,priority,target,ret,ret_ew,buy,sell,holding_days,exit_reason,csi1500_ew
h5m80d50_ensemble,002038.SZ,20260820,CONSENSUS_2,2,,,,,,,,
h5m80d50_ensemble,300841.SZ,20260820,CONSENSUS_2,2,,,,,,,,
h5m80d50_ensemble,301047.SZ,20260820,FAMILY_ONLY,3,,,,,,,,
h5m80d50_ensemble,688185.SH,20260820,CONSENSUS_2,2,,,,,,,,
h5m80d50_ensemble,688658.SH,20260820,CONSENSUS_2,2,,,,,,,,
h5m80d50_ensemble,300570.SZ,20260819,FAMILY_ONLY,3,,0.15902672170323706,0.14804274201136036,184.12,,1.0,,0.0109839796918767
h5m80d50_ensemble,301047.SZ,20260819,FAMILY_ONLY,3,,0.1051260504201681,0.0941420707282914,119.0,,1.0,,0.0109839796918767
h5m80d50_ensemble,600330.SH,20260819,CONSENSUS_2,2,,0.023110785033015446,0.012126805341138747,27.26,,1.0,,0.0109839796918767
h5m80d50_ensemble,600783.SH,20260819,FAMILY_ONLY,3,,-0.039215686274509665,-0.050199665966386364,19.38,,1.0,,0.0109839796918767
h5m80d50_ensemble,603395.SH,20260819,F220_TOP1_LATE_EARLY_GATE|FAMILY_ONLY,1,,0.1264705882352941,0.11548660854341741,27.2,,1.0,,0.0109839796918767
h5m80d50_ensemble,688432.SH,20260819,FAMILY_ONLY,3,,-0.08391038696537689,-0.09489436665725359,49.1,,1.0,,0.0109839796918767
h5m80d50_ensemble,688702.SH,20260819,CONSENSUS_2,2,,-0.027940678186983647,-0.03892465787886035,383.67,,1.0,,0.0109839796918767
h5m80d50_ensemble,000603.SZ,20260818,FAMILY_ONLY,3,1.0,0.0710382513661203,0.09871250277471866,31.11,33.32,2.0,profit_open,-0.02767425140859836
h5m80d50_ensemble,002428.SZ,20260818,F220_TOP1_LATE_EARLY_GATE|FAMILY_ONLY,1,,0.00485154279060751,0.03252579419920587,103.06,,2.0,,-0.02767425140859836
h5m80d50_ensemble,300285.SZ,20260818,FAMILY_ONLY,3,0.0,-0.07767425140859852,-0.050000000000000155,70.32,64.85794664094735,2.0,stop_close,-0.02767425140859836
h5m80d50_ensemble,300570.SZ,20260818,CONSENSUS_2,2,1.0,0.05232574859140171,0.08000000000000007,190.71,200.68904351386624,2.0,profit_intraday,-0.02767425140859836
h5m80d50_ensemble,600353.SH,20260818,CONSENSUS_3,1,,-0.04709748083242071,-0.019423229423822352,36.52,,2.0,,-0.02767425140859836
h5m80d50_ensemble,688313.SH,20260818,FAMILY_ONLY,3,1.0,0.05232574859140171,0.08000000000000007,154.0,162.05816528307585,2.0,profit_intraday,-0.02767425140859836
h5m80d50_ensemble,002081.SZ,20260817,F220_TOP1_LATE_EARLY_GATE|CONSENSUS_3,1,,-0.05932203389830515,-0.02905353642202113,5.9,,3.0,,-0.030268497476284018
h5m80d50_ensemble,600353.SH,20260817,CONSENSUS_2,2,1.0,0.03919571625582696,0.08000000000000007,36.0,37.41104578520977,2.0,profit_intraday,-0.04080428374417311
h5m80d50_ensemble,603083.SH,20260817,FAMILY_ONLY,3,0.0,-0.09080428374417315,-0.050000000000000044,193.44,175.87481935252714,2.0,stop_close,-0.04080428374417311
h5m80d50_ensemble,603118.SH,20260817,FAMILY_ONLY,3,0.0,-0.08436724565756826,-0.04356296191339515,20.15,18.45,2.0,t1_stop_t2_open,-0.04080428374417311
h5m80d50_ensemble,688313.SH,20260817,FAMILY_ONLY,3,,0.02499999999999991,0.05526849747628393,160.0,,3.0,,-0.030268497476284018
h5m80d50_ensemble,688766.SH,20260817,FAMILY_ONLY,3,,0.021651282487557877,0.051919779963841894,470.18,,3.0,,-0.030268497476284018
h5m80d50_ensemble,000636.SZ,20260814,FAMILY_ONLY,3,0.0,-0.07481697231849216,-0.050000000000000044,62.03,57.389103207083934,3.0,stop_close,-0.024816972318492114
h5m80d50_ensemble,002081.SZ,20260814,FAMILY_ONLY,3,1.0,0.09395485996506792,0.08000000000000007,5.5,6.016751729807874,2.0,profit_intraday,0.013954859965067845
h5m80d50_ensemble,002428.SZ,20260814,FAMILY_ONLY,3,1.0,0.05518302768150796,0.08000000000000007,104.7,110.47766299825389,3.0,profit_intraday,-0.024816972318492114
h5m80d50_ensemble,002851.SZ,20260814,FAMILY_ONLY,3,0.0,-0.07481697231849216,-0.050000000000000044,133.5,123.5119341954813,3.0,stop_close,-0.024816972318492114
h5m80d50_ensemble,300363.SZ,20260814,FAMILY_ONLY,3,1.0,0.06589441825342446,0.08000000000000007,21.61,23.033978378456503,4.0,profit_intraday,-0.014105581746575613
h5m80d50_ensemble,300620.SZ,20260814,CONSENSUS_2,2,0.0,-0.07481697231849205,-0.04999999999999993,325.98,301.59116336361797,3.0,stop_close,-0.024816972318492114
