model,ts_code,trade_date,priority_name,priority,target,ret,ret_ew,buy,sell,holding_days,exit_reason,csi1500_ew
h5m80d50_priority,600353.SH,20260818,,,,,,,,,,
h5m80d50_priority,603678.SH,20260818,,,,,,,,,,
h5m80d50_priority,605376.SH,20260818,,,,,,,,,,
h5m80d50_priority,000880.SZ,20260817,P2_current_broader,2.0,,-0.044646235338630325,-0.041978152063612884,26.43,,1.0,,-0.002668083275017441
h5m80d50_priority,002965.SZ,20260817,,,,0.004982415005861718,0.007650498280879159,34.12,,1.0,,-0.002668083275017441
h5m80d50_priority,688503.SH,20260817,P3_global_china_expansion,3.0,,0.059116365899191115,0.061784449174208556,96.42,,1.0,,-0.002668083275017441
h5m80d50_priority,301392.SZ,20260814,P3_global_china_expansion,3.0,,0.052281032653542336,0.03832617268847449,169.66,,2.0,,0.013954859965067845
h5m80d50_priority,600353.SH,20260814,,,1.0,0.09395485996506792,0.08000000000000007,33.0,36.10051037884724,2.0,profit_intraday,0.013954859965067845
h5m80d50_priority,688048.SH,20260814,P3_global_china_expansion,3.0,,0.06717552416545258,0.05322066420038474,315.74,,2.0,,0.013954859965067845
h5m80d50_priority,688766.SH,20260814,P3_global_china_expansion,3.0,1.0,0.11947619047619051,0.10552133051112267,420.0,470.18,2.0,profit_open,0.013954859965067845
h5m80d50_priority,002081.SZ,20260813,,,1.0,0.09630576335912044,0.08000000000000007,5.29,5.799457488169748,2.0,profit_intraday,0.016305763359120373
h5m80d50_priority,300223.SZ,20260813,,,1.0,0.09630576335912044,0.08000000000000007,141.51,155.13822857294912,2.0,profit_intraday,0.016305763359120373
h5m80d50_priority,688048.SH,20260813,,,1.0,0.09630576335912044,0.08000000000000007,303.57,332.8055405829282,2.0,profit_intraday,0.016305763359120373
h5m80d50_priority,301392.SZ,20260812,,,0.0,-0.05555555555555558,-0.04578244657025299,180.0,170.0,2.0,t1_stop_t2_open,-0.009773108985302592
h5m80d50_priority,688001.SH,20260812,P2_current_broader,2.0,1.0,0.08673141185485655,0.08000000000000007,50.86,55.27115960693801,3.0,profit_intraday,0.006731411854856484
h5m80d50_priority,688403.SH,20260812,,,1.0,0.08404536861245182,0.08000000000000007,24.49,26.548271077318944,4.0,profit_intraday,0.00404536861245175
h5m80d50_priority,300223.SZ,20260811,P3_global_china_expansion,3.0,1.0,0.09462609391152665,0.08000000000000007,139.25,152.42668357718009,4.0,profit_intraday,0.014626093911526583
h5m80d50_priority,688001.SH,20260811,,,1.0,0.0783472794230331,0.08000000000000007,48.52,52.32140999760557,2.0,profit_intraday,-0.0016527205769669706
h5m80d50_priority,688403.SH,20260811,,,1.0,0.09191898699996504,0.08000000000000007,24.51,26.762934371369145,5.0,profit_intraday,0.011918986999964964
h5m80d50_priority,002897.SZ,20260810,P2_current_broader,2.0,0.0,0.07794245858761983,0.06869333483432505,57.35,61.82,5.0,expiry_close,0.009249123753294786
h5m80d50_priority,605111.SH,20260810,P3_global_china_expansion,3.0,1.0,0.0730565781871575,0.08000000000000007,55.5,59.55464008938724,3.0,profit_intraday,-0.006943421812842576
h5m80d50_priority,688003.SH,20260810,,,1.0,0.0730565781871575,0.08000000000000007,76.6,82.19613388913626,3.0,profit_intraday,-0.006943421812842576
