horizon,gain,cut,model,priority,csi1500_ew,ts_code,trade_date,target,ret,ret_ew,buy,sell,holding_days,exit_reason
5,0.08,-0.05,priority,0,,688205.SH,20260727,,,,,,,
5,0.08,-0.05,priority,0,,002222.SZ,20260727,,,,,,,
5,0.08,-0.05,priority,0,,300548.SZ,20260727,,,,,,,
5,0.08,-0.05,ensemble,1,,605376.SH,20260727,,,,,,,
5,0.08,-0.05,ensemble,2,,301205.SZ,20260727,,,,,,,
5,0.08,-0.05,ensemble,1,,688766.SH,20260727,,,,,,,
5,0.08,-0.05,ensemble,2,,688146.SH,20260727,,,,,,,
5,0.08,-0.05,ensemble,3,,301526.SZ,20260727,,,,,,,
2,0.08,-0.05,dual,3,,605376.SH,20260727,,,,,,,
2,0.08,-0.05,dual,3,,002428.SZ,20260727,,,,,,,
