stock_code,ts_code,effective_start_date,effective_end_date,include_date,sw_l3_code,sw_l2_code,sw_l2_index_code,sw_l2_name,sw_l2_is_pub,sw_l2_parent_code,sw_source,mapping_update_time
000001,000001.SZ,20220101,99991231,20210730,480301,480300,801783.SI,股份制银行Ⅱ,1,480000,SW2021,2025-12-15 16:33:00
000002,000002.SZ,20220101,99991231,19910129,430101,430100,801181.SI,房地产开发,1,430000,SW2021,2015-10-27 15:29:00
000003,000003.SZ,20220101,99991231,19910414,510101,510100,801231.SI,综合Ⅱ,1,510000,SW2021,2015-10-27 15:28:00
000004,000004.SZ,20220101,99991231,20210730,710402,710400,801104.SI,软件开发,1,710000,SW2021,2021-07-31 16:18:00
000005,000005.SZ,20220101,99991231,20210730,760104,760100,801971.SI,环境治理,1,760000,SW2021,2022-10-11 14:51:00
000006,000006.SZ,20220101,99991231,20170629,430101,430100,801181.SI,房地产开发,1,430000,SW2021,2020-12-16 15:10:00
000007,000007.SZ,20220101,99991231,20210730,450304,450300,801203.SI,一般零售,1,450000,SW2021,2021-07-31 16:18:00
000008,000008.SZ,20220101,99991231,20150701,640501,640500,801076.SI,轨交设备Ⅱ,1,640000,SW2021,2015-10-27 15:29:00
000009,000009.SZ,20220101,99991231,20210730,630702,630700,801737.SI,电池,1,630000,SW2021,2025-10-15 10:57:00
000010,000010.SZ,20220101,99991231,20210730,620307,620300,801723.SI,基础建设,1,620000,SW2021,2021-08-02 13:20:00
000011,000011.SZ,20220101,99991231,19920330,430101,430100,801181.SI,房地产开发,1,430000,SW2021,2015-10-27 15:29:00
000012,000012.SZ,20220101,99991231,20140221,610201,610200,801712.SI,玻璃玻纤,1,610000,SW2021,2024-09-27 12:41:00
000013,000013.SZ,20220101,99991231,20030501,220501,220500,801036.SI,塑料,1,220000,SW2021,2015-10-27 15:28:00
000014,000014.SZ,20220101,99991231,20010501,430101,430100,801181.SI,房地产开发,1,430000,SW2021,2015-10-27 15:29:00
000015,000015.SZ,20220101,99991231,19920625,510101,510100,801231.SI,综合Ⅱ,1,510000,SW2021,2015-10-27 15:28:00
000016,000016.SZ,20220101,20240729,19920327,330201,330200,801112.SI,黑色家电,1,330000,SW2021,2015-10-27 15:29:00
000016,000016.SZ,20240730,99991231,20240730,330106,330100,801111.SI,白色家电,1,330000,SW2021,2024-07-30 12:45:00
000017,000017.SZ,20220101,20220728,20140221,280401,280400,801881.SI,摩托车及其他,1,280000,SW2021,2024-09-27 12:41:00
000017,000017.SZ,20220729,99991231,20220729,350301,350300,801133.SI,饰品,1,350000,SW2021,2022-07-29 11:54:00
000018,000018.SZ,20220101,99991231,20180713,620403,620400,801724.SI,专业工程,1,620000,SW2021,2019-08-09 15:39:00
000019,000019.SZ,20220101,99991231,20210730,110502,110500,801012.SI,农产品加工,1,110000,SW2021,2021-07-31 16:18:00
000020,000020.SZ,20220101,99991231,20210730,270301,270300,801084.SI,光学光电子,1,270000,SW2021,2023-04-25 09:31:00
000021,000021.SZ,20220101,99991231,20210730,270504,270500,801085.SI,消费电子,1,270000,SW2021,2023-04-25 09:31:00
000022,000022.SZ,20220101,99991231,19930505,420101,420100,,,,,,2024-10-25 09:03:00
000023,000023.SZ,20220101,99991231,20210730,610102,610100,801711.SI,水泥,1,610000,SW2021,2023-12-07 10:03:00
000024,000024.SZ,20220101,99991231,20020501,430101,430100,801181.SI,房地产开发,1,430000,SW2021,2015-10-27 15:29:00
000025,000025.SZ,20220101,20230703,20210730,280302,280300,801092.SI,汽车服务,1,280000,SW2021,2024-07-29 11:30:00
000025,000025.SZ,20230704,99991231,20230704,510101,510100,801231.SI,综合Ⅱ,1,510000,SW2021,2024-07-29 11:30:00
000026,000026.SZ,20220101,99991231,20210730,350301,350300,801133.SI,饰品,1,350000,SW2021,2023-06-28 18:51:00
000027,000027.SZ,20220101,99991231,19930903,410101,410100,801161.SI,电力,1,410000,SW2021,2015-10-27 15:29:00
000028,000028.SZ,20220101,99991231,20210730,370402,370400,801154.SI,医药商业,1,370000,SW2021,2021-07-31 16:18:00
000029,000029.SZ,20220101,99991231,19930915,430101,430100,801181.SI,房地产开发,1,430000,SW2021,2015-10-27 15:29:00
000030,000030.SZ,20220101,99991231,20210730,280203,280200,801093.SI,汽车零部件,1,280000,SW2021,2025-01-08 14:36:00
000031,000031.SZ,20220101,99991231,20210730,430102,430100,801181.SI,房地产开发,1,430000,SW2021,2021-07-31 16:18:00
000032,000032.SZ,20220101,20220728,20210730,730206,730200,801102.SI,通信设备,1,730000,SW2021,2021-07-31 16:18:00
000032,000032.SZ,20220729,99991231,20220729,620404,620400,801724.SI,专业工程,1,620000,SW2021,2022-07-29 11:54:00
000033,000033.SZ,20220101,99991231,19940103,460201,460200,,,,,,2015-10-27 15:28:00
000034,000034.SZ,20220101,99991231,20210730,710301,710300,801103.SI,IT服务Ⅱ,1,710000,SW2021,2024-02-19 09:41:00
000035,000035.SZ,20220101,99991231,20210730,760103,760100,801971.SI,环境治理,1,760000,SW2021,2026-04-02 13:26:00
000036,000036.SZ,20220101,99991231,20100108,430101,430100,801181.SI,房地产开发,1,430000,SW2021,2015-10-27 15:29:00
000037,000037.SZ,20220101,20220728,20210730,410104,410100,801161.SI,电力,1,410000,SW2021,2021-07-31 16:18:00
000037,000037.SZ,20220729,99991231,20220729,410101,410100,801161.SI,电力,1,410000,SW2021,2025-10-15 10:57:00
000038,000038.SZ,20220101,99991231,20210730,510101,510100,801231.SI,综合Ⅱ,1,510000,SW2021,2021-07-31 16:18:00
000039,000039.SZ,20220101,99991231,20210730,640108,640100,801072.SI,通用设备,1,640000,SW2021,2025-10-15 10:57:00
000040,000040.SZ,20220101,99991231,20210730,410106,410100,801161.SI,电力,1,410000,SW2021,2022-10-11 14:51:00
000042,000042.SZ,20220101,99991231,19940921,430101,430100,801181.SI,房地产开发,1,430000,SW2021,2015-10-27 15:29:00
000043,000043.SZ,20220101,99991231,20070702,430101,430100,801181.SI,房地产开发,1,430000,SW2021,2015-10-27 15:29:00
000045,000045.SZ,20220101,99991231,20140101,270301,270300,801084.SI,光学光电子,1,270000,SW2021,2015-10-27 15:29:00
000046,000046.SZ,20220101,99991231,20210730,430101,430100,801181.SI,房地产开发,1,430000,SW2021,2021-07-31 16:18:00
000047,000047.SZ,20220101,99991231,19941021,430101,430100,801181.SI,房地产开发,1,430000,SW2021,2015-10-27 15:28:00
000048,000048.SZ,20220101,20250810,20210730,430101,430100,801181.SI,房地产开发,1,430000,SW2021,2024-05-27 10:52:00
000048,000048.SZ,20250811,99991231,20250811,110702,110700,801017.SI,养殖业,1,110000,SW2021,2025-08-11 17:30:00
000049,000049.SZ,20220101,99991231,20210730,630701,630700,801737.SI,电池,1,630000,SW2021,2025-10-15 10:57:00
